region,nMen16_615_2021,regNameEng,regNameISO
Алтайский край,593766,Altai Krai,ALT
Амурская область,239274,Amur,AMU
Архангельская область,284986,Arkhangelsk,ARK
Астраханская область,288596,Astrakhan,AST
Белгородская область,453917,Belgorod,BEL
Брянская область,345546,Bryansk,BRY
Владимирская область,395638,Vladimir,VLA
Волгоградская область,787188,Volgograd,VGG
Вологодская область,330328,Vologda,VLG
Воронежская область,692268,Voronezh,VOR
Еврейская автономная область,45466,Yevreyskaya,YEV
Забайкальский край,297873,Zabaykalsky,ZAB
Ивановская область,266919,Ivanovo,IVA
Иркутская область,684291,Irkutsk,IRK
Кабардино-Балкарская Республика,275463,Kabardino-Balkaria,KB
Калининградская область,320095,Kaliningrad,KGD
Калужская область,330134,Kaluga,KLU
Камчатский край,95111,Kamchatka,KAM
Кемеровская область,754643,Kemerovo,KEM
Кировская область,321441,Kirov,KIR
Костромская область,161784,Kostroma,KOS
Краснодарский край,1788305,Krasnodar,KDA
Красноярский край,867922,Krasnoyarsk,KYA
Курганская область,213102,Kurgan,KGN
Курская область,310158,Kursk,KRS
Ленинградская область,639765,Leningrad,LEN
Липецкая область,332336,Lipetsk,LIP
Магаданская область,45707,Magadan,MAG
Москва,4096435,Moscow,MOW
Московская область,2812520,Moscow Oblast,MOS
Мурманская область,213224,Murmansk,MUR
Ненецкий автономный округ,12717,Nenets,NEN
Нижегородская область,912761,Nizhny Novgorod,NIZ
Новгородская область,162326,Novgorod,NGR
Новосибирская область,821000,Novosibirsk,NVS
Омская область,545368,Omsk,OMS
Оренбургская область,538936,Orenburg,ORE
Орловская область,207507,Oryol,ORL
Пензенская область,365483,Penza,PNZ
Пермский край,733107,Perm,PER
Приморский край,576846,Primorsky,PRI
Псковская область,173864,Pskov,PSK
Республика Адыгея,145977,Adygea,AD
Республика Алтай,58226,Altai Republic,AL
Республика Башкортостан,1239319,Bashkortostan,BA
Республика Бурятия,278885,Buryatia,BU
Республика Дагестан,990582,Dagestan,DA
Республика Ингушетия,173094,Ingushetia,IN
Республика Калмыкия,80177,Kalmykia,KL
Республика Карачаево-Черкесия,139233,Karachay-Cherkessia,KC
Республика Карелия,150418,Karelia,KR
Республика Коми,221218,Komi,KO
Республика Крым,557147,Crimea,UA-43
Республика Марий Эл,197794,Mari El,ME
Республика Мордовия,237055,Mordovia,MO
Республика Саха (Якутия),309283,Sakha,SA
Республика Северная Осетия-Алания,207166,North Ossetia,SE
Республика Татарстан,1191152,Tatarstan,TA
Республика Тыва,92884,Tuva,TY
Республика Хакасия,150548,Khakassia,KK
Ростовская область,1274849,Rostov,ROS
Рязанская область,319814,Ryazan,RYA
Самарская область,938500,Samara,SAM
Санкт-Петербург,1711227,St.Petersburg,SPE
Саратовская область,739119,Saratov,SAR
Сахалинская область,147268,Sakhalin,SAK
Свердловская область,1284804,Sverdlovsk,SVE
Севастополь,179931,Sevastopol,UA-40
Смоленская область,262742,Smolensk,SMO
Ставропольский край,892044,Stavropol,STA
Тамбовская область,289077,Tambov,TAM
Тверская область,361629,Tver,TVE
Томская область,321782,Tomsk,TOM
Тульская область,441544,Tula,TUL
Тюменская область,454731,Tyumen,TYU
Удмуртская Республика,418157,Udmurtia,UD
Ульяновская область,347851,Ulyanovsk,ULY
Хабаровский край,403638,Khabarovsk,KHA
Ханты-Мансийский автономный округ - Югра,548522,Khanty-Mansi,KHM
Челябинская область,1008253,Chelyabinsk,CHE
Чеченская Республика,462280,Chechnya,CE
Чувашская Республика,342404,Chuvashia,CU
Чукотский автономный округ,16138,Chukotka,CHU
Ямало-Ненецкий автономный округ,169683,Yamalo-Nenets,YAN
Ярославская область,344538,Yaroslavl,YAR