region,regionISO,year2021,year2022
        Белгородская область,BEL,1384,1514
        Брянская область,BRY,1053,1146
        Владимирская область,VLA,1766,1848
        Воронежская область,VOR,3601,3780
        Ивановская область,IVA,1344,1415
        Калужская область,KLU,1546,1577
        Костромская область,KOS,961,1155
        Курская область,KRS,1289,1330
        Липецкая область,LIP,1005,1032
        Московская область,MOS,14153,14447
        Нижегородская область,NIZ,2260,2373
        Орловская область,ORL,459,489
        Рязанская область,RYA,2077,2211
        Смоленская область,SMO,1817,1912
        Тамбовская область,TAM,1995,2076
        Тверская область,TVE,2189,2171
        Тульская область,TUL,1283,1405
        Ярославская область,YAR,1624,1684
        г.Москва,MOW,7947,8200
        Архангельская область,ARK,523,621
        Вологодская область,VLG,1196,1284
        Калининградской обл.,KGD,3761,3890
        Республика Карелия,KR,426,474
        Республика Коми,KO,79,128
        Ленинградская область,LEN,2981,3110
        Мурманская область,MUR,636,741
        Новгородская область,NGR,776,800
        Псковская область,PSK,1234,1473
        г.Санкт-Петербург,SPE,8511,8542
        Республика Адыгея,AD,763,790
        Астраханская область,AST,1205,1306
        Волгоградская область,VGG,2850,3088
        Республика Дагестан,DA,535,763
        Республика Ингушетия,IN,84,107
        Кабардино-Балкарская Республика,KB,323,433
        Республика Калмыкия,KL,61,98
        Карачаево-Черкесская Республика,KC,114,175
        Краснодарский край,KDA,6916,7451
        Ростовская область,ROS,4983,5439
        Республика Северная Осетия,SE,640,792
        Ставропольский край,STA,2571,2804
        Чеченская Республика,CE,343,461
        Республика Башкортостан,BA,1419,1655
        Кировская область,KIR,878,967
        Республика Марий-Эл,ME,600,684
        Республика Мордовия,MO,275,299
        Оренбургская область,ORE,1699,1943
        Пензенская область,PNZ,1340,1437
        Пермский край,PER,1367,1560
        Самарская область,SAM,2929,3129
        Саратовская область,SAR,3910,4112
        Республика Татарстан,TA,1520,1737
        Удмуртская Республика,UD,636,753
        Ульяновская область,ULY,1154,1422
        Чувашская Республика,CU,459,563
        Курганская область,KGN,397,491
        Свердловская область,SVE,2646,2861
        Тюменская область,TYU,545,621
        Челябинская область,CHE,1816,2251
        Ханты-Мансийский АО,KHM,62,97
        Ямало-Ненецкий АО,YAN,20,28
        Алтайский край,ALT,1457,1742
        Иркутская область,IRK,1028,1176
        Кемеровская область,KEM,706,843
        Красноярского края,KYA,1146,1322
        Новосибирская область,NVS,2167,2268
        Омская область,OMS,1709,415
        Республика Алтай,AL,54,95
        Республика Бурятия,BU,482,829
        Республика Тыва,TY,35,176
        Республика Хакасия,KK,229,258
        Томская область,TOM,504,589
        Забайкальский край,ZAB,731,954
        Амурская область,AMU,826,945
        Еврейская автономная область,YEV,110,133
        Камчатская область,KAM,200,243
        Магаданская область,MAG,10,13
        Приморский край,PRI,2626,2887
        Республика Саха (Якутия),SA,43,59
        Сахалинская область,SAK,128,165
        Хабаровский край,KHA,1082,1245
        г.Севастополь,UA-40,3201,3217
        Республика Крым,UA-43,4057,4099