regNameEng,regNameISO,percBelowSubsistence,unemploymentRate,subsistenceLevel,meanIncome
Altai Krai,ALT,17.5,5.9,10211,23864
Amur,AMU,15.2,6,13530,35499
Arkhangelsk,ARK,12.3,7.3,13304,34852
Astrakhan,AST,15.6,7.9,10793,25199
Belgorod,BEL,7.2,4.9,9593,32841
Bryansk,BRY,13.7,4,10950,28596
Vladimir,VLA,12.5,5.6,10808,25922
Volgograd,VGG,12,7.6,9864,24864
Vologda,VLG,12.9,6.1,11428,29522
Voronezh,VOR,8.5,4.3,9053,32078
Yevreyskaya,YEV,23.7,6.3,15416,28048
Zabaykalsky,ZAB,20.9,9.8,12999,27046
Ivanovo,IVA,13.7,5.4,10581,26277
Irkutsk,IRK,17.6,7.7,11982,27571
Kabardino-Balkaria,KB,24.2,14.8,11311,21957
Kaliningrad,KGD,13.5,5.9,12084,29518
Kaluga,KLU,9.7,4.7,10964,32442
Kamchatka,KAM,14.6,3.8,21524,55373
Kemerovo,KEM,13.2,6.7,10403,25433
Kirov,KIR,14.1,5.4,10710,24192
Kostroma,KOS,12.5,5.5,11010,25780
Krasnodar,KDA,10.6,5.7,11261,36838
Krasnoyarsk,KYA,17,6,13053,32832
Kurgan,KGN,19.3,8.2,10452,21860
Kursk,KRS,9.9,4.9,9997,29786
Leningrad,LEN,8.7,5.3,11289,33149
Lipetsk,LIP,8.5,4.3,9828,32226
Magadan,MAG,8.7,5.6,20830,70864
Moscow,MOW,6.1,2.6,17740,77283
Moscow Oblast,MOS,6.8,3.6,13169,47046
Murmansk,MUR,10.2,7.7,17723,46355
Nenets,NEN,9.4,8.8,21757,84147
Nizhny Novgorod,NIZ,9.5,4.6,10372,33645
Novgorod,NGR,13.7,5.8,11352,26268
Novosibirsk,NVS,13.8,6.7,11845,31563
Omsk,OMS,13.6,8.9,10324,27354
Orenburg,ORE,14,5.9,9760,24719
Oryol,ORL,13,6.1,10378,26843
Penza,PNZ,13,5,9610,24118
Perm,PER,13.3,5.7,10844,30215
Primorsky,PRI,13,5.5,14025,37304
Pskov,PSK,16.2,6.5,11441,26436
Adygea,AD,12.5,8.5,9876,30293
Altai Republic,AL,23.8,14,10697,21667
Bashkortostan,BA,11.7,5.9,9834,30249
Buryatia,BU,20,10.5,12333,26092
Dagestan,DA,14.8,15.7,10465,27661
Ingushetia,IN,30,29.8,10353,16877
Kalmykia,KL,22.7,9.6,10443,19811
Karachay-Cherkessia,KC,23.4,14.7,10277,18949
Karelia,KR,15.1,8.7,14196,32583
Komi,KO,15.3,7.7,14567,36677
Crimea,UA-43,17.3,6.3,11074,22950
Mari El,ME,19.5,6.8,9846,21264
Mordovia,MO,17.6,5.3,9378,20631
Sakha,SA,17.3,7.4,17824,46338
North Ossetia,SE,13.9,15.4,9854,23927
Tatarstan,TA,6.6,3.6,9600,35635
Tuva,TY,31.7,18,10674,18972
Khakassia,KK,18.5,8.7,11795,23837
Rostov,ROS,13,5,10787,31427
Ryazan,RYA,12.8,5.4,10785,27312
Samara,SAM,12.3,4.4,10962,29893
St.Petersburg,SPE,5.9,2.9,11910,49207
Saratov,SAR,14.8,5.6,9631,24046
Sakhalin,SAK,7.7,5.5,16130,60770
Sverdlovsk,SVE,9,5.8,10817,37374
Sevastopol,UA-40,11,4.6,11396,29957
Smolensk,SMO,15.7,5.3,10752,28152
Stavropol,STA,14,6.2,9777,23911
Tambov,TAM,10.8,4.6,10178,27889
Tver,TVE,11.4,4.4,11138,27681
Tomsk,TOM,14.4,8.6,11850,28857
Tula,TUL,10.1,4.4,10999,29385
Tyumen,TYU,14,4.8,11748,31151
Udmurtia,UD,11.9,6.3,10314,25449
Ulyanovsk,ULY,15,4.9,10306,24590
Khabarovsk,KHA,12,4,15569,41740
Khanty-Mansi,KHM,8.4,3,15890,54443
Chelyabinsk,CHE,12.6,6.8,11232,26628
Chechnya,CE,20.4,18.5,11240,24596
Chuvashia,CU,16.8,6.1,9804,21155
Chukotka,CHU,8,4.4,23999,89541
Yamalo-Nenets,YAN,4.9,2.4,16640,89928
Yaroslavl,YAR,9.9,7.3,10668,29514